[WARNING][1;31m Indexing parameters (-k, -w or -H) overridden by parameters used in the prebuilt index.[0m
[M::main::0.020*1.60] loaded/built the index for 1 target sequence(s)
[M::mm_mapopt_update::0.020*1.58] mid_occ = 1000
[M::worker_pipeline::4509.194*0.31] mapped 500407 sequences
[M::worker_pipeline::4511.592*0.32] mapped 500442 sequences
[M::worker_pipeline::4513.778*0.32] mapped 500431 sequences
[M::worker_pipeline::4516.060*0.32] mapped 500422 sequences
[M::worker_pipeline::4518.726*0.33] mapped 500415 sequences
[M::worker_pipeline::4520.743*0.33] mapped 500414 sequences
[M::worker_pipeline::4523.246*0.33] mapped 500421 sequences
[M::worker_pipeline::4526.090*0.34] mapped 500433 sequences
[M::worker_pipeline::4528.227*0.34] mapped 500416 sequences
[M::worker_pipeline::4530.597*0.34] mapped 500415 sequences
[M::worker_pipeline::4533.368*0.34] mapped 500437 sequences
[M::worker_pipeline::4535.352*0.35] mapped 500414 sequences
[M::worker_pipeline::4537.745*0.35] mapped 500433 sequences
[M::worker_pipeline::4540.532*0.35] mapped 500418 sequences
[M::worker_pipeline::4542.705*0.36] mapped 500412 sequences
[M::worker_pipeline::4545.011*0.36] mapped 500410 sequences
[M::worker_pipeline::4549.844*0.36] mapped 500412 sequences
[M::worker_pipeline::4551.776*0.37] mapped 500432 sequences
[M::worker_pipeline::4554.193*0.37] mapped 500435 sequences
[M::worker_pipeline::4556.721*0.37] mapped 500427 sequences
[M::worker_pipeline::4559.072*0.38] mapped 500413 sequences
[M::worker_pipeline::4561.276*0.38] mapped 500421 sequences
[M::worker_pipeline::4563.995*0.38] mapped 500406 sequences
[M::worker_pipeline::4566.284*0.39] mapped 500414 sequences
[M::worker_pipeline::4568.555*0.39] mapped 500436 sequences
[M::worker_pipeline::4571.206*0.39] mapped 500432 sequences
[M::worker_pipeline::4573.531*0.39] mapped 500420 sequences
[M::worker_pipeline::4575.968*0.40] mapped 500427 sequences
[M::worker_pipeline::4578.674*0.40] mapped 500425 sequences
[M::worker_pipeline::4580.915*0.40] mapped 500422 sequences
[M::worker_pipeline::4583.321*0.41] mapped 500406 sequences
[M::worker_pipeline::4586.088*0.41] mapped 500426 sequences
[M::worker_pipeline::4631.801*0.41] mapped 500416 sequences
[M::worker_pipeline::4633.941*0.41] mapped 500429 sequences
[M::worker_pipeline::4636.162*0.42] mapped 500425 sequences
[M::worker_pipeline::4638.272*0.42] mapped 500431 sequences
[M::worker_pipeline::4640.590*0.42] mapped 500431 sequences
[M::worker_pipeline::4643.272*0.43] mapped 500416 sequences
[M::worker_pipeline::4645.410*0.43] mapped 500403 sequences
[M::worker_pipeline::4647.914*0.43] mapped 500415 sequences
[M::worker_pipeline::4650.637*0.44] mapped 500419 sequences
[M::worker_pipeline::4652.696*0.44] mapped 500432 sequences
[M::worker_pipeline::4655.077*0.44] mapped 500414 sequences
[M::worker_pipeline::4657.828*0.44] mapped 500405 sequences
[M::worker_pipeline::4659.967*0.45] mapped 500431 sequences
[M::worker_pipeline::4662.257*0.45] mapped 500428 sequences
[M::worker_pipeline::4664.950*0.45] mapped 500423 sequences
[M::worker_pipeline::4667.080*0.46] mapped 500406 sequences
[M::worker_pipeline::4669.603*0.46] mapped 500435 sequences
[M::worker_pipeline::4672.244*0.46] mapped 500419 sequences
[M::worker_pipeline::4674.391*0.47] mapped 500418 sequences
[M::worker_pipeline::4676.780*0.47] mapped 500426 sequences
[M::worker_pipeline::4679.537*0.47] mapped 500429 sequences
[M::worker_pipeline::4681.638*0.47] mapped 500419 sequences
[M::worker_pipeline::4683.988*0.48] mapped 500421 sequences
[M::worker_pipeline::4686.742*0.48] mapped 500419 sequences
[M::worker_pipeline::4688.814*0.48] mapped 500417 sequences
[M::worker_pipeline::4691.223*0.49] mapped 500417 sequences
[M::worker_pipeline::4693.967*0.49] mapped 500436 sequences
[M::worker_pipeline::4696.030*0.49] mapped 500412 sequences
[M::worker_pipeline::4698.340*0.50] mapped 500420 sequences
[M::worker_pipeline::4701.104*0.50] mapped 500418 sequences
[M::worker_pipeline::4703.201*0.50] mapped 500425 sequences
[M::worker_pipeline::4705.629*0.51] mapped 500423 sequences
[M::worker_pipeline::4749.362*0.51] mapped 500422 sequences
[M::worker_pipeline::4751.331*0.51] mapped 500426 sequences
[M::worker_pipeline::4753.512*0.51] mapped 500420 sequences
[M::worker_pipeline::4756.215*0.51] mapped 500415 sequences
[M::worker_pipeline::4758.277*0.52] mapped 500404 sequences
[M::worker_pipeline::4760.582*0.52] mapped 500427 sequences
[M::worker_pipeline::4763.316*0.52] mapped 500422 sequences
[M::worker_pipeline::4765.444*0.52] mapped 500426 sequences
[M::worker_pipeline::4767.838*0.53] mapped 500436 sequences
[M::worker_pipeline::4770.591*0.53] mapped 500427 sequences
[M::worker_pipeline::4772.611*0.53] mapped 500403 sequences
[M::worker_pipeline::4775.021*0.54] mapped 500419 sequences
[M::worker_pipeline::4777.890*0.54] mapped 500422 sequences
[M::worker_pipeline::4780.569*0.54] mapped 500417 sequences
[M::worker_pipeline::4783.078*0.54] mapped 500418 sequences
[M::worker_pipeline::4785.927*0.55] mapped 500415 sequences
[M::worker_pipeline::4788.142*0.55] mapped 500416 sequences
[M::worker_pipeline::4790.639*0.55] mapped 500408 sequences
[M::worker_pipeline::4793.470*0.56] mapped 500423 sequences
[M::worker_pipeline::4795.511*0.56] mapped 500416 sequences
[M::worker_pipeline::4798.893*0.56] mapped 500424 sequences
[M::worker_pipeline::4805.284*0.57] mapped 500439 sequences
[M::worker_pipeline::4807.082*0.57] mapped 500416 sequences
[M::worker_pipeline::4809.431*0.57] mapped 500420 sequences
[M::worker_pipeline::4812.182*0.57] mapped 500428 sequences
[M::worker_pipeline::4814.335*0.58] mapped 500421 sequences
[M::worker_pipeline::4816.769*0.58] mapped 500424 sequences
[M::worker_pipeline::4820.513*0.58] mapped 500405 sequences
[M::worker_pipeline::4822.742*0.59] mapped 500420 sequences
[M::worker_pipeline::4825.147*0.59] mapped 500443 sequences
[M::worker_pipeline::4827.870*0.59] mapped 500418 sequences
[M::worker_pipeline::4829.901*0.59] mapped 500419 sequences
[M::worker_pipeline::4872.967*0.59] mapped 500416 sequences
[M::worker_pipeline::4874.822*0.60] mapped 500424 sequences
[M::worker_pipeline::4876.785*0.60] mapped 500417 sequences
[M::worker_pipeline::4879.187*0.60] mapped 500398 sequences
[M::worker_pipeline::4881.878*0.60] mapped 500420 sequences
[M::worker_pipeline::4883.688*0.61] mapped 500441 sequences
[M::worker_pipeline::4884.957*0.61] mapped 500429 sequences
[M::worker_pipeline::4885.040*0.61] mapped 6832 sequences
[M::main] Version: 2.24-r1122
[M::main] CMD: minimap2 --sam-hit-only -t 6 -a -x sr data/ref/NC_045512.2.fas.mmi /dev/fd/63
[M::main] Real time: 4885.205 sec; CPU: 2960.312 sec; Peak RSS: 0.660 GB
