[WARNING][1;31m Indexing parameters (-k, -w or -H) overridden by parameters used in the prebuilt index.[0m
[M::main::0.019*1.66] loaded/built the index for 1 target sequence(s)
[M::mm_mapopt_update::0.019*1.64] mid_occ = 1000
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 1
[M::mm_idx_stat::0.019*2.40] distinct minimizers: 5587 (99.93% are singletons); average occurrences: 1.004; average spacing: 5.332; total length: 29903
[M::worker_pipeline::2132.912*0.01] mapped 501486 sequences
[M::worker_pipeline::2135.519*0.02] mapped 501526 sequences
[M::worker_pipeline::2138.365*0.03] mapped 501520 sequences
[M::worker_pipeline::2140.947*0.04] mapped 501511 sequences
[M::worker_pipeline::2143.744*0.04] mapped 501492 sequences
[M::worker_pipeline::2145.954*0.05] mapped 501521 sequences
[M::worker_pipeline::2148.505*0.06] mapped 501474 sequences
[M::worker_pipeline::2151.205*0.06] mapped 501495 sequences
[M::worker_pipeline::2153.348*0.07] mapped 501508 sequences
[M::worker_pipeline::2155.805*0.08] mapped 501508 sequences
[M::worker_pipeline::2158.574*0.08] mapped 501527 sequences
[M::worker_pipeline::2160.788*0.09] mapped 501518 sequences
[M::worker_pipeline::2163.248*0.10] mapped 501506 sequences
[M::worker_pipeline::2165.953*0.10] mapped 501529 sequences
[M::worker_pipeline::2167.986*0.11] mapped 501470 sequences
[M::worker_pipeline::2170.519*0.11] mapped 501499 sequences
[M::worker_pipeline::2173.220*0.12] mapped 501487 sequences
[M::worker_pipeline::2175.729*0.13] mapped 501451 sequences
[M::worker_pipeline::2178.127*0.13] mapped 501488 sequences
[M::worker_pipeline::2180.722*0.14] mapped 501494 sequences
[M::worker_pipeline::2182.900*0.15] mapped 501528 sequences
[M::worker_pipeline::2185.744*0.15] mapped 501503 sequences
[M::worker_pipeline::2188.342*0.16] mapped 501474 sequences
[M::worker_pipeline::2190.191*0.16] mapped 501517 sequences
[M::worker_pipeline::2193.023*0.17] mapped 501516 sequences
[M::worker_pipeline::2195.684*0.18] mapped 501513 sequences
[M::worker_pipeline::2198.310*0.18] mapped 501493 sequences
[M::worker_pipeline::2201.325*0.19] mapped 501494 sequences
[M::worker_pipeline::2204.372*0.20] mapped 501498 sequences
[M::worker_pipeline::2206.349*0.20] mapped 501484 sequences
[M::worker_pipeline::2209.275*0.21] mapped 501528 sequences
[M::worker_pipeline::2211.834*0.21] mapped 501487 sequences
[M::worker_pipeline::2258.508*0.22] mapped 501499 sequences
[M::worker_pipeline::2261.069*0.23] mapped 501473 sequences
[M::worker_pipeline::2266.426*0.23] mapped 501474 sequences
[M::worker_pipeline::2268.964*0.24] mapped 501488 sequences
[M::worker_pipeline::2271.953*0.24] mapped 501515 sequences
[M::worker_pipeline::2274.145*0.25] mapped 501522 sequences
[M::worker_pipeline::2276.212*0.25] mapped 501490 sequences
[M::worker_pipeline::2278.887*0.26] mapped 501472 sequences
[M::worker_pipeline::2281.342*0.27] mapped 501506 sequences
[M::worker_pipeline::2283.422*0.27] mapped 501496 sequences
[M::worker_pipeline::2285.898*0.28] mapped 501485 sequences
[M::worker_pipeline::2288.394*0.28] mapped 501521 sequences
[M::worker_pipeline::2290.960*0.29] mapped 501509 sequences
[M::worker_pipeline::2293.738*0.30] mapped 501508 sequences
[M::worker_pipeline::2296.477*0.30] mapped 501486 sequences
[M::worker_pipeline::2298.773*0.31] mapped 501507 sequences
[M::worker_pipeline::2301.641*0.31] mapped 501473 sequences
[M::worker_pipeline::2304.493*0.32] mapped 501497 sequences
[M::worker_pipeline::2306.774*0.33] mapped 501494 sequences
[M::worker_pipeline::2309.277*0.33] mapped 501504 sequences
[M::worker_pipeline::2312.330*0.34] mapped 501516 sequences
[M::worker_pipeline::2314.283*0.34] mapped 501508 sequences
[M::worker_pipeline::2316.944*0.35] mapped 501497 sequences
[M::worker_pipeline::2319.410*0.36] mapped 501528 sequences
[M::worker_pipeline::2321.708*0.36] mapped 501469 sequences
[M::worker_pipeline::2324.213*0.37] mapped 501485 sequences
[M::worker_pipeline::2326.731*0.37] mapped 501474 sequences
[M::worker_pipeline::2328.949*0.38] mapped 501446 sequences
[M::worker_pipeline::2331.449*0.39] mapped 501486 sequences
[M::worker_pipeline::2333.824*0.39] mapped 501506 sequences
[M::worker_pipeline::2336.122*0.40] mapped 501515 sequences
[M::worker_pipeline::2338.808*0.40] mapped 501478 sequences
[M::worker_pipeline::2385.441*0.41] mapped 501482 sequences
[M::worker_pipeline::2387.979*0.41] mapped 501515 sequences
[M::worker_pipeline::2390.394*0.42] mapped 501491 sequences
[M::worker_pipeline::2392.503*0.42] mapped 501508 sequences
[M::worker_pipeline::2394.770*0.43] mapped 501505 sequences
[M::worker_pipeline::2397.411*0.43] mapped 501475 sequences
[M::worker_pipeline::2399.829*0.44] mapped 501498 sequences
[M::worker_pipeline::2402.247*0.44] mapped 501488 sequences
[M::worker_pipeline::2405.153*0.45] mapped 501519 sequences
[M::worker_pipeline::2407.201*0.45] mapped 501480 sequences
[M::worker_pipeline::2409.625*0.46] mapped 501489 sequences
[M::worker_pipeline::2412.188*0.47] mapped 501480 sequences
[M::worker_pipeline::2414.721*0.47] mapped 501471 sequences
[M::worker_pipeline::2417.091*0.48] mapped 501489 sequences
[M::worker_pipeline::2419.671*0.48] mapped 501501 sequences
[M::worker_pipeline::2422.172*0.49] mapped 501503 sequences
[M::worker_pipeline::2424.533*0.49] mapped 501494 sequences
[M::worker_pipeline::2427.396*0.50] mapped 501477 sequences
[M::worker_pipeline::2429.014*0.50] mapped 501508 sequences
