[2022-08-21 09:28:26] Executing SamBamViz v0.0.9
[2022-08-21 09:28:26] Using 1-based indexing
[2022-08-21 09:28:26] Input file: data/trimmed_bam/SRR13615978.02.trimmed.sorted.bam
[2022-08-21 09:28:26] Output file: data/trimmed_bam/SRR13615978.02.trimmed.sorted.bam.sambamviz.tsv
[2022-08-21 09:28:26] Parsing input file...
[2022-08-21 09:28:32] Parsed 50000 reads...
[2022-08-21 09:28:38] Parsed 100000 reads...
[2022-08-21 09:28:44] Parsed 150000 reads...
[2022-08-21 09:28:51] Parsed 200000 reads...
[2022-08-21 09:28:58] Parsed 250000 reads...
[2022-08-21 09:29:05] Parsed 300000 reads...
[2022-08-21 09:29:12] Parsed 350000 reads...
[2022-08-21 09:29:20] Parsed 400000 reads...
[2022-08-21 09:29:27] Parsed 450000 reads...
[2022-08-21 09:29:36] Parsed 500000 reads...
[2022-08-21 09:29:43] Parsed 550000 reads...
[2022-08-21 09:29:51] Parsed 600000 reads...
[2022-08-21 09:29:59] Parsed 650000 reads...
[2022-08-21 09:30:08] Parsed 700000 reads...
[2022-08-21 09:30:15] Parsed 750000 reads...
[2022-08-21 09:30:23] Parsed 800000 reads...
[2022-08-21 09:30:30] Parsed 850000 reads...
[2022-08-21 09:30:38] Parsed 900000 reads...
[2022-08-21 09:30:45] Parsed 950000 reads...
[2022-08-21 09:30:53] Parsed 1000000 reads...
[2022-08-21 09:31:00] Parsed 1050000 reads...
[2022-08-21 09:31:08] Parsed 1100000 reads...
[2022-08-21 09:31:15] Parsed 1150000 reads...
[2022-08-21 09:31:23] Parsed 1200000 reads...
[2022-08-21 09:31:30] Parsed 1250000 reads...
[2022-08-21 09:31:38] Parsed 1300000 reads...
[2022-08-21 09:31:46] Parsed 1350000 reads...
[2022-08-21 09:31:53] Parsed 1400000 reads...
[2022-08-21 09:32:00] Parsed 1450000 reads...
[2022-08-21 09:32:07] Parsed 1500000 reads...
[2022-08-21 09:32:15] Parsed 1550000 reads...
[2022-08-21 09:32:22] Parsed 1600000 reads...
[2022-08-21 09:32:30] Parsed 1650000 reads...
[2022-08-21 09:32:37] Parsed 1700000 reads...
[2022-08-21 09:32:44] Parsed 1750000 reads...
[2022-08-21 09:32:52] Parsed 1800000 reads...
[2022-08-21 09:32:59] Parsed 1850000 reads...
[2022-08-21 09:33:06] Parsed 1900000 reads...
[2022-08-21 09:33:14] Parsed 1950000 reads...
[2022-08-21 09:33:21] Parsed 2000000 reads...
[2022-08-21 09:33:29] Parsed 2050000 reads...
[2022-08-21 09:33:36] Parsed 2100000 reads...
[2022-08-21 09:33:44] Parsed 2150000 reads...
[2022-08-21 09:33:51] Parsed 2200000 reads...
[2022-08-21 09:33:59] Parsed 2250000 reads...
[2022-08-21 09:34:06] Parsed 2300000 reads...
[2022-08-21 09:34:14] Parsed 2350000 reads...
[2022-08-21 09:34:21] Parsed 2400000 reads...
