[2022-08-21 08:06:32] Executing SamBamViz v0.0.9
[2022-08-21 08:06:32] Using 1-based indexing
[2022-08-21 08:06:32] Input file: data/trimmed_bam/SRR13615961.02.trimmed.sorted.bam
[2022-08-21 08:06:32] Output file: data/trimmed_bam/SRR13615961.02.trimmed.sorted.bam.sambamviz.tsv
[2022-08-21 08:06:32] Parsing input file...
[2022-08-21 08:06:40] Parsed 50000 reads...
[2022-08-21 08:06:48] Parsed 100000 reads...
[2022-08-21 08:06:57] Parsed 150000 reads...
[2022-08-21 08:07:06] Parsed 200000 reads...
[2022-08-21 08:07:15] Parsed 250000 reads...
[2022-08-21 08:07:24] Parsed 300000 reads...
[2022-08-21 08:07:32] Parsed 350000 reads...
[2022-08-21 08:07:41] Parsed 400000 reads...
[2022-08-21 08:07:50] Parsed 450000 reads...
[2022-08-21 08:07:59] Parsed 500000 reads...
[2022-08-21 08:08:08] Parsed 550000 reads...
[2022-08-21 08:08:18] Parsed 600000 reads...
[2022-08-21 08:08:28] Parsed 650000 reads...
[2022-08-21 08:08:37] Parsed 700000 reads...
[2022-08-21 08:08:46] Parsed 750000 reads...
[2022-08-21 08:08:56] Parsed 800000 reads...
[2022-08-21 08:09:04] Parsed 850000 reads...
[2022-08-21 08:09:14] Parsed 900000 reads...
[2022-08-21 08:09:22] Parsed 950000 reads...
[2022-08-21 08:09:31] Parsed 1000000 reads...
[2022-08-21 08:09:40] Parsed 1050000 reads...
[2022-08-21 08:09:49] Parsed 1100000 reads...
[2022-08-21 08:09:58] Parsed 1150000 reads...
[2022-08-21 08:10:07] Parsed 1200000 reads...
[2022-08-21 08:10:15] Parsed 1250000 reads...
[2022-08-21 08:10:24] Parsed 1300000 reads...
[2022-08-21 08:10:33] Parsed 1350000 reads...
[2022-08-21 08:10:42] Parsed 1400000 reads...
[2022-08-21 08:10:51] Parsed 1450000 reads...
[2022-08-21 08:11:00] Parsed 1500000 reads...
[2022-08-21 08:11:09] Parsed 1550000 reads...
[2022-08-21 08:11:18] Parsed 1600000 reads...
[2022-08-21 08:11:26] Parsed 1650000 reads...
[2022-08-21 08:11:35] Parsed 1700000 reads...
[2022-08-21 08:11:44] Parsed 1750000 reads...
[2022-08-21 08:11:53] Parsed 1800000 reads...
[2022-08-21 08:12:02] Parsed 1850000 reads...
[2022-08-21 08:12:11] Parsed 1900000 reads...
[2022-08-21 08:12:20] Parsed 1950000 reads...
[2022-08-21 08:12:29] Parsed 2000000 reads...
[2022-08-21 08:12:38] Parsed 2050000 reads...
[2022-08-21 08:12:47] Parsed 2100000 reads...
[2022-08-21 08:12:56] Parsed 2150000 reads...
[2022-08-21 08:13:05] Parsed 2200000 reads...
[2022-08-21 08:13:14] Parsed 2250000 reads...
[2022-08-21 08:13:23] Parsed 2300000 reads...
[2022-08-21 08:13:32] Parsed 2350000 reads...
[2022-08-21 08:13:41] Parsed 2400000 reads...
[2022-08-21 08:13:50] Parsed 2450000 reads...
[2022-08-21 08:13:59] Parsed 2500000 reads...
[2022-08-21 08:14:08] Parsed 2550000 reads...
[2022-08-21 08:14:17] Parsed 2600000 reads...
[2022-08-21 08:14:26] Parsed 2650000 reads...
[2022-08-21 08:14:35] Parsed 2700000 reads...
[2022-08-21 08:14:44] Parsed 2750000 reads...
[2022-08-21 08:14:53] Parsed 2800000 reads...
[2022-08-21 08:15:02] Parsed 2850000 reads...
[2022-08-21 08:15:11] Parsed 2900000 reads...
[2022-08-21 08:15:20] Parsed 2950000 reads...
[2022-08-21 08:15:29] Parsed 3000000 reads...
[2022-08-21 08:15:39] Parsed 3050000 reads...
[2022-08-21 08:15:48] Parsed 3100000 reads...
[2022-08-21 08:15:57] Parsed 3150000 reads...
[2022-08-21 08:16:06] Parsed 3200000 reads...
[2022-08-21 08:16:15] Parsed 3250000 reads...
[2022-08-21 08:16:24] Parsed 3300000 reads...
[2022-08-21 08:16:33] Parsed 3350000 reads...
[2022-08-21 08:16:42] Parsed 3400000 reads...
[2022-08-21 08:16:50] Parsed 3450000 reads...
[2022-08-21 08:16:59] Parsed 3500000 reads...
[2022-08-21 08:17:08] Parsed 3550000 reads...
[2022-08-21 08:17:17] Parsed 3600000 reads...
[2022-08-21 08:17:26] Parsed 3650000 reads...
[2022-08-21 08:17:35] Parsed 3700000 reads...
[2022-08-21 08:17:44] Parsed 3750000 reads...
[2022-08-21 08:17:53] Parsed 3800000 reads...
[2022-08-21 08:18:01] Parsed 3850000 reads...
[2022-08-21 08:18:11] Parsed 3900000 reads...
[2022-08-21 08:18:20] Parsed 3950000 reads...
[2022-08-21 08:18:29] Parsed 4000000 reads...
[2022-08-21 08:18:38] Parsed 4050000 reads...
[2022-08-21 08:18:47] Parsed 4100000 reads...
[2022-08-21 08:18:56] Parsed 4150000 reads...
[2022-08-21 08:19:05] Parsed 4200000 reads...
[2022-08-21 08:19:14] Parsed 4250000 reads...
[2022-08-21 08:19:23] Parsed 4300000 reads...
[2022-08-21 08:19:32] Parsed 4350000 reads...
[2022-08-21 08:19:41] Parsed 4400000 reads...
[2022-08-21 08:19:50] Parsed 4450000 reads...
