[2022-08-21 13:01:48] Executing SamBamViz v0.0.9
[2022-08-21 13:20:36] Parsed 5650000 reads...
[2022-08-21 13:20:46] Parsed 5700000 reads...
[2022-08-21 13:20:56] Parsed 5750000 reads...
[2022-08-21 13:21:06] Parsed 5800000 reads...
[2022-08-21 13:21:16] Parsed 5850000 reads...
[2022-08-21 13:21:26] Parsed 5900000 reads...
[2022-08-21 13:21:37] Parsed 5950000 reads...
[2022-08-21 13:21:46] Parsed 6000000 reads...
[2022-08-21 13:21:55] Parsed 6050000 reads...
[2022-08-21 13:22:05] Parsed 6100000 reads...
[2022-08-21 13:22:16] Parsed 6150000 reads...
[2022-08-21 13:22:26] Parsed 6200000 reads...
[2022-08-21 13:22:36] Parsed 6250000 reads...
[2022-08-21 13:22:46] Parsed 6300000 reads...
[2022-08-21 13:22:56] Parsed 6350000 reads...
[2022-08-21 13:23:05] Parsed 6400000 reads...
[2022-08-21 13:23:15] Parsed 6450000 reads...
[2022-08-21 13:23:26] Parsed 6500000 reads...
[2022-08-21 13:23:36] Parsed 6550000 reads...
[2022-08-21 13:23:45] Parsed 6600000 reads...
[2022-08-21 13:23:55] Parsed 6650000 reads...
[2022-08-21 13:24:05] Parsed 6700000 reads...
[2022-08-21 13:24:17] Parsed 6750000 reads...
[2022-08-21 13:24:26] Parsed 6800000 reads...
[2022-08-21 13:24:36] Parsed 6850000 reads...
[2022-08-21 13:24:46] Parsed 6900000 reads...
[2022-08-21 13:24:56] Parsed 6950000 reads...
[2022-08-21 13:25:06] Parsed 7000000 reads...
[2022-08-21 13:25:15] Parsed 7050000 reads...
[2022-08-21 13:25:24] Parsed 7100000 reads...
[2022-08-21 13:25:34] Parsed 7150000 reads...
[2022-08-21 13:25:44] Parsed 7200000 reads...
[2022-08-21 13:25:54] Parsed 7250000 reads...
[2022-08-21 13:26:03] Parsed 7300000 reads...
[2022-08-21 13:26:13] Parsed 7350000 reads...
[2022-08-21 13:26:23] Parsed 7400000 reads...
[2022-08-21 13:26:33] Parsed 7450000 reads...
[2022-08-21 13:26:43] Parsed 7500000 reads...
[2022-08-21 13:26:52] Parsed 7550000 reads...
[2022-08-21 13:27:03] Parsed 7600000 reads...
[2022-08-21 13:27:12] Parsed 7650000 reads...
[2022-08-21 13:27:22] Parsed 7700000 reads...
[2022-08-21 13:27:32] Parsed 7750000 reads...
[2022-08-21 13:27:43] Parsed 7800000 reads...
[2022-08-21 13:27:53] Parsed 7850000 reads...
[2022-08-21 13:28:02] Parsed 7900000 reads...
[2022-08-21 13:28:11] Parsed 7950000 reads...
[2022-08-21 13:28:21] Parsed 8000000 reads...
[2022-08-21 13:28:30] Parsed 8050000 reads...
[2022-08-21 13:28:39] Parsed 8100000 reads...
[2022-08-21 13:28:48] Parsed 8150000 reads...
[2022-08-21 13:28:57] Parsed 8200000 reads...
[2022-08-21 13:29:06] Parsed 8250000 reads...
[2022-08-21 13:29:15] Parsed 8300000 reads...
[2022-08-21 13:29:25] Parsed 8350000 reads...
[2022-08-21 13:29:35] Parsed 8400000 reads...
[2022-08-21 13:29:44] Parsed 8450000 reads...
[2022-08-21 13:29:55] Parsed 8500000 reads...
[2022-08-21 13:30:04] Parsed 8550000 reads...
[2022-08-21 13:30:14] Parsed 8600000 reads...
[2022-08-21 13:30:22] Parsed 8650000 reads...
[2022-08-21 13:30:32] Parsed 8700000 reads...
[2022-08-21 13:30:42] Parsed 8750000 reads...
[2022-08-21 13:30:51] Parsed 8800000 reads...
[2022-08-21 13:31:01] Parsed 8850000 reads...
[2022-08-21 13:31:11] Parsed 8900000 reads...
[2022-08-21 13:31:21] Parsed 8950000 reads...
[2022-08-21 13:31:30] Parsed 9000000 reads...
[2022-08-21 13:31:40] Parsed 9050000 reads...
[2022-08-21 13:31:50] Parsed 9100000 reads...
[2022-08-21 13:32:00] Parsed 9150000 reads...
[2022-08-21 13:32:09] Parsed 9200000 reads...
[2022-08-21 13:32:19] Parsed 9250000 reads...
[2022-08-21 13:32:28] Parsed 9300000 reads...
[2022-08-21 13:32:39] Parsed 9350000 reads...
[2022-08-21 13:32:48] Parsed 9400000 reads...
[2022-08-21 13:32:58] Parsed 9450000 reads...
[2022-08-21 13:33:07] Parsed 9500000 reads...
[2022-08-21 13:33:17] Parsed 9550000 reads...
[2022-08-21 13:33:27] Parsed 9600000 reads...
[2022-08-21 13:33:36] Parsed 9650000 reads...
[2022-08-21 13:33:46] Parsed 9700000 reads...
[2022-08-21 13:33:56] Parsed 9750000 reads...
[2022-08-21 13:34:06] Parsed 9800000 reads...
[2022-08-21 13:34:15] Parsed 9850000 reads...
[2022-08-21 13:34:25] Parsed 9900000 reads...
[2022-08-21 13:34:35] Parsed 9950000 reads...
[2022-08-21 13:34:45] Parsed 10000000 reads...
[2022-08-21 13:34:54] Parsed 10050000 reads...
[2022-08-21 13:35:04] Parsed 10100000 reads...
[2022-08-21 13:35:14] Parsed 10150000 reads...
[2022-08-21 13:35:24] Parsed 10200000 reads...
[2022-08-21 13:35:33] Parsed 10250000 reads...
[2022-08-21 13:35:43] Parsed 10300000 reads...
[2022-08-21 13:35:53] Parsed 10350000 reads...
[2022-08-21 13:36:03] Parsed 10400000 reads...
[2022-08-21 13:36:13] Parsed 10450000 reads...
[2022-08-21 13:36:23] Parsed 10500000 reads...
[2022-08-21 13:36:33] Parsed 10550000 reads...
[2022-08-21 13:36:42] Parsed 10600000 reads...
[2022-08-21 13:36:52] Parsed 10650000 reads...
[2022-08-21 13:37:01] Parsed 10700000 reads...
[2022-08-21 13:37:11] Parsed 10750000 reads...
[2022-08-21 13:37:21] Parsed 10800000 reads...
[2022-08-21 13:37:31] Parsed 10850000 reads...
[2022-08-21 13:37:40] Parsed 10900000 reads...
[2022-08-21 13:37:49] Parsed 10950000 reads...
[2022-08-21 13:37:59] Parsed 11000000 reads...
[2022-08-21 13:38:10] Parsed 11050000 reads...
[2022-08-21 13:38:20] Parsed 11100000 reads...
[2022-08-21 13:38:29] Parsed 11150000 reads...
[2022-08-21 13:38:39] Parsed 11200000 reads...
[2022-08-21 13:38:49] Parsed 11250000 reads...
[2022-08-21 13:38:58] Parsed 11300000 reads...
[2022-08-21 13:39:08] Parsed 11350000 reads...
[2022-08-21 13:39:17] Parsed 11400000 reads...
[2022-08-21 13:39:27] Parsed 11450000 reads...
[2022-08-21 13:39:37] Parsed 11500000 reads...
[2022-08-21 13:39:47] Parsed 11550000 reads...
[2022-08-21 13:39:57] Parsed 11600000 reads...
[2022-08-21 13:40:07] Parsed 11650000 reads...
[2022-08-21 13:40:16] Parsed 11700000 reads...
[2022-08-21 13:40:26] Parsed 11750000 reads...
[2022-08-21 13:40:35] Parsed 11800000 reads...
[2022-08-21 13:40:45] Parsed 11850000 reads...
[2022-08-21 13:40:54] Parsed 11900000 reads...
[2022-08-21 13:41:04] Parsed 11950000 reads...
[2022-08-21 13:41:14] Parsed 12000000 reads...
[2022-08-21 13:41:24] Parsed 12050000 reads...
[2022-08-21 13:41:34] Parsed 12100000 reads...
[2022-08-21 13:41:44] Parsed 12150000 reads...
[2022-08-21 13:41:53] Parsed 12200000 reads...
[2022-08-21 13:42:02] Parsed 12250000 reads...
[2022-08-21 13:42:11] Parsed 12300000 reads...
[2022-08-21 13:42:21] Parsed 12350000 reads...
[2022-08-21 13:42:31] Parsed 12400000 reads...
[2022-08-21 13:42:40] Parsed 12450000 reads...
[2022-08-21 13:42:50] Parsed 12500000 reads...
[2022-08-21 13:43:00] Parsed 12550000 reads...
[2022-08-21 13:43:10] Parsed 12600000 reads...
[2022-08-21 13:43:19] Parsed 12650000 reads...
[2022-08-21 13:43:29] Parsed 12700000 reads...
[2022-08-21 13:43:39] Parsed 12750000 reads...
[2022-08-21 13:43:49] Parsed 12800000 reads...
[2022-08-21 13:43:58] Parsed 12850000 reads...
[2022-08-21 13:44:08] Parsed 12900000 reads...
[2022-08-21 13:44:17] Parsed 12950000 reads...
[2022-08-21 13:44:27] Parsed 13000000 reads...
[2022-08-21 13:44:36] Parsed 13050000 reads...
[2022-08-21 13:44:46] Parsed 13100000 reads...
[2022-08-21 13:44:55] Parsed 13150000 reads...
[2022-08-21 13:45:04] Parsed 13200000 reads...
[2022-08-21 13:45:14] Parsed 13250000 reads...
[2022-08-21 13:45:23] Parsed 13300000 reads...
[2022-08-21 13:45:32] Parsed 13350000 reads...
[2022-08-21 13:45:42] Parsed 13400000 reads...
[2022-08-21 13:45:52] Parsed 13450000 reads...
[2022-08-21 13:46:01] Parsed 13500000 reads...
[2022-08-21 13:46:10] Parsed 13550000 reads...
[2022-08-21 13:46:20] Parsed 13600000 reads...
[2022-08-21 13:46:30] Parsed 13650000 reads...
[2022-08-21 13:46:40] Parsed 13700000 reads...
[2022-08-21 13:46:49] Parsed 13750000 reads...
[2022-08-21 13:46:59] Parsed 13800000 reads...
[2022-08-21 13:47:09] Parsed 13850000 reads...
[2022-08-21 13:47:19] Parsed 13900000 reads...
[2022-08-21 13:47:28] Parsed 13950000 reads...
[2022-08-21 13:47:38] Parsed 14000000 reads...
[2022-08-21 13:47:48] Parsed 14050000 reads...
[2022-08-21 13:47:57] Parsed 14100000 reads...
[2022-08-21 13:48:06] Parsed 14150000 reads...
[2022-08-21 13:48:17] Parsed 14200000 reads...
[2022-08-21 13:48:28] Parsed 14250000 reads...
[2022-08-21 13:48:39] Parsed 14300000 reads...
[2022-08-21 13:48:50] Parsed 14350000 reads...
[2022-08-21 13:49:01] Parsed 14400000 reads...
