[2022-08-21 12:35:38] Executing SamBamViz v0.0.9
[2022-08-21 12:35:38] Using 1-based indexing
[2022-08-21 12:35:38] Input file: data/trimmed_bam/SRR13616004.02.trimmed.sorted.bam
[2022-08-21 12:35:38] Output file: data/trimmed_bam/SRR13616004.02.trimmed.sorted.bam.sambamviz.tsv
[2022-08-21 12:35:38] Parsing input file...
[2022-08-21 12:35:44] Parsed 50000 reads...
[2022-08-21 12:35:51] Parsed 100000 reads...
[2022-08-21 12:35:59] Parsed 150000 reads...
[2022-08-21 12:36:06] Parsed 200000 reads...
[2022-08-21 12:36:14] Parsed 250000 reads...
[2022-08-21 12:36:22] Parsed 300000 reads...
[2022-08-21 12:36:29] Parsed 350000 reads...
[2022-08-21 12:36:37] Parsed 400000 reads...
[2022-08-21 12:36:44] Parsed 450000 reads...
[2022-08-21 12:36:52] Parsed 500000 reads...
[2022-08-21 12:36:59] Parsed 550000 reads...
[2022-08-21 12:37:07] Parsed 600000 reads...
[2022-08-21 12:37:14] Parsed 650000 reads...
[2022-08-21 12:37:22] Parsed 700000 reads...
[2022-08-21 12:37:30] Parsed 750000 reads...
[2022-08-21 12:37:37] Parsed 800000 reads...
[2022-08-21 12:37:45] Parsed 850000 reads...
[2022-08-21 12:37:52] Parsed 900000 reads...
[2022-08-21 12:38:00] Parsed 950000 reads...
[2022-08-21 12:38:07] Parsed 1000000 reads...
[2022-08-21 12:38:16] Parsed 1050000 reads...
[2022-08-21 12:38:24] Parsed 1100000 reads...
[2022-08-21 12:38:31] Parsed 1150000 reads...
[2022-08-21 12:38:39] Parsed 1200000 reads...
[2022-08-21 12:38:47] Parsed 1250000 reads...
[2022-08-21 12:38:54] Parsed 1300000 reads...
[2022-08-21 12:39:02] Parsed 1350000 reads...
[2022-08-21 12:39:10] Parsed 1400000 reads...
[2022-08-21 12:39:18] Parsed 1450000 reads...
[2022-08-21 12:39:25] Parsed 1500000 reads...
[2022-08-21 12:39:33] Parsed 1550000 reads...
[2022-08-21 12:39:41] Parsed 1600000 reads...
[2022-08-21 12:39:48] Parsed 1650000 reads...
[2022-08-21 12:39:56] Parsed 1700000 reads...
[2022-08-21 12:40:03] Parsed 1750000 reads...
[2022-08-21 12:40:11] Parsed 1800000 reads...
[2022-08-21 12:40:18] Parsed 1850000 reads...
[2022-08-21 12:40:26] Parsed 1900000 reads...
[2022-08-21 12:40:33] Parsed 1950000 reads...
[2022-08-21 12:40:41] Parsed 2000000 reads...
[2022-08-21 12:40:49] Parsed 2050000 reads...
[2022-08-21 12:40:56] Parsed 2100000 reads...
[2022-08-21 12:41:04] Parsed 2150000 reads...
[2022-08-21 12:41:12] Parsed 2200000 reads...
[2022-08-21 12:41:19] Parsed 2250000 reads...
[2022-08-21 12:41:27] Parsed 2300000 reads...
[2022-08-21 12:41:35] Parsed 2350000 reads...
[2022-08-21 12:41:42] Parsed 2400000 reads...
[2022-08-21 12:41:50] Parsed 2450000 reads...
[2022-08-21 12:41:57] Parsed 2500000 reads...
[2022-08-21 12:42:05] Parsed 2550000 reads...
[2022-08-21 12:42:13] Parsed 2600000 reads...
[2022-08-21 12:42:20] Parsed 2650000 reads...
[2022-08-21 12:42:27] Parsed 2700000 reads...
[2022-08-21 12:42:35] Parsed 2750000 reads...
[2022-08-21 12:42:43] Parsed 2800000 reads...
[2022-08-21 12:42:50] Parsed 2850000 reads...
[2022-08-21 12:42:58] Parsed 2900000 reads...
[2022-08-21 12:43:05] Parsed 2950000 reads...
[2022-08-21 12:43:13] Parsed 3000000 reads...
[2022-08-21 12:43:21] Parsed 3050000 reads...
[2022-08-21 12:43:28] Parsed 3100000 reads...
[2022-08-21 12:43:36] Parsed 3150000 reads...
[2022-08-21 12:43:44] Parsed 3200000 reads...
[2022-08-21 12:43:51] Parsed 3250000 reads...
[2022-08-21 12:43:58] Parsed 3300000 reads...
[2022-08-21 12:44:06] Parsed 3350000 reads...
[2022-08-21 12:44:13] Parsed 3400000 reads...
[2022-08-21 12:44:21] Parsed 3450000 reads...
[2022-08-21 12:44:29] Parsed 3500000 reads...
[2022-08-21 12:44:36] Parsed 3550000 reads...
[2022-08-21 12:44:44] Parsed 3600000 reads...
[2022-08-21 12:44:51] Parsed 3650000 reads...
[2022-08-21 12:44:59] Parsed 3700000 reads...
[2022-08-21 12:45:07] Parsed 3750000 reads...
[2022-08-21 12:45:14] Parsed 3800000 reads...
[2022-08-21 12:45:22] Parsed 3850000 reads...
[2022-08-21 12:45:30] Parsed 3900000 reads...
[2022-08-21 12:45:37] Parsed 3950000 reads...
[2022-08-21 12:45:45] Parsed 4000000 reads...
[2022-08-21 12:45:53] Parsed 4050000 reads...
