[2022-08-21 13:52:18] Executing SamBamViz v0.0.9
[2022-08-21 13:52:18] Using 1-based indexing
[2022-08-21 13:52:18] Input file: data/trimmed_bam/SRR13616012.02.trimmed.sorted.bam
[2022-08-21 13:52:18] Output file: data/trimmed_bam/SRR13616012.02.trimmed.sorted.bam.sambamviz.tsv
[2022-08-21 13:52:18] Parsing input file...
[2022-08-21 13:52:24] Parsed 50000 reads...
[2022-08-21 13:52:30] Parsed 100000 reads...
[2022-08-21 13:52:37] Parsed 150000 reads...
[2022-08-21 13:52:44] Parsed 200000 reads...
[2022-08-21 13:52:51] Parsed 250000 reads...
[2022-08-21 13:52:58] Parsed 300000 reads...
[2022-08-21 13:53:05] Parsed 350000 reads...
[2022-08-21 13:53:13] Parsed 400000 reads...
[2022-08-21 13:53:20] Parsed 450000 reads...
[2022-08-21 13:53:28] Parsed 500000 reads...
[2022-08-21 13:53:36] Parsed 550000 reads...
[2022-08-21 13:53:44] Parsed 600000 reads...
[2022-08-21 13:53:51] Parsed 650000 reads...
[2022-08-21 13:53:59] Parsed 700000 reads...
[2022-08-21 13:54:06] Parsed 750000 reads...
[2022-08-21 13:54:13] Parsed 800000 reads...
[2022-08-21 13:54:21] Parsed 850000 reads...
[2022-08-21 13:54:28] Parsed 900000 reads...
[2022-08-21 13:54:36] Parsed 950000 reads...
[2022-08-21 13:54:43] Parsed 1000000 reads...
[2022-08-21 13:54:51] Parsed 1050000 reads...
[2022-08-21 13:54:58] Parsed 1100000 reads...
[2022-08-21 13:55:05] Parsed 1150000 reads...
[2022-08-21 13:55:13] Parsed 1200000 reads...
[2022-08-21 13:55:20] Parsed 1250000 reads...
[2022-08-21 13:55:28] Parsed 1300000 reads...
[2022-08-21 13:55:35] Parsed 1350000 reads...
[2022-08-21 13:55:42] Parsed 1400000 reads...
[2022-08-21 13:55:49] Parsed 1450000 reads...
[2022-08-21 13:55:57] Parsed 1500000 reads...
[2022-08-21 13:56:05] Parsed 1550000 reads...
[2022-08-21 13:56:12] Parsed 1600000 reads...
[2022-08-21 13:56:20] Parsed 1650000 reads...
[2022-08-21 13:56:27] Parsed 1700000 reads...
[2022-08-21 13:56:35] Parsed 1750000 reads...
[2022-08-21 13:56:42] Parsed 1800000 reads...
[2022-08-21 13:56:50] Parsed 1850000 reads...
[2022-08-21 13:56:58] Parsed 1900000 reads...
[2022-08-21 13:57:05] Parsed 1950000 reads...
[2022-08-21 13:57:12] Parsed 2000000 reads...
[2022-08-21 13:57:20] Parsed 2050000 reads...
[2022-08-21 13:57:27] Parsed 2100000 reads...
[2022-08-21 13:57:35] Parsed 2150000 reads...
[2022-08-21 13:57:42] Parsed 2200000 reads...
[2022-08-21 13:57:50] Parsed 2250000 reads...
[2022-08-21 13:57:58] Parsed 2300000 reads...
[2022-08-21 13:58:05] Parsed 2350000 reads...
[2022-08-21 13:58:13] Parsed 2400000 reads...
[2022-08-21 13:58:20] Parsed 2450000 reads...
[2022-08-21 13:58:28] Parsed 2500000 reads...
[2022-08-21 13:58:36] Parsed 2550000 reads...
[2022-08-21 13:58:43] Parsed 2600000 reads...
[2022-08-21 13:58:51] Parsed 2650000 reads...
[2022-08-21 13:58:58] Parsed 2700000 reads...
[2022-08-21 13:59:05] Parsed 2750000 reads...
[2022-08-21 13:59:13] Parsed 2800000 reads...
[2022-08-21 13:59:20] Parsed 2850000 reads...
[2022-08-21 13:59:28] Parsed 2900000 reads...
[2022-08-21 13:59:35] Parsed 2950000 reads...
[2022-08-21 13:59:43] Parsed 3000000 reads...
[2022-08-21 13:59:50] Parsed 3050000 reads...
[2022-08-21 13:59:58] Parsed 3100000 reads...
[2022-08-21 14:00:05] Parsed 3150000 reads...
[2022-08-21 14:00:13] Parsed 3200000 reads...
[2022-08-21 14:00:20] Parsed 3250000 reads...
[2022-08-21 14:00:28] Parsed 3300000 reads...
[2022-08-21 14:00:36] Parsed 3350000 reads...
[2022-08-21 14:00:43] Parsed 3400000 reads...
[2022-08-21 14:00:51] Parsed 3450000 reads...
[2022-08-21 14:00:58] Parsed 3500000 reads...
[2022-08-21 14:01:06] Parsed 3550000 reads...
[2022-08-21 14:01:14] Parsed 3600000 reads...
[2022-08-21 14:01:21] Parsed 3650000 reads...
[2022-08-21 14:01:29] Parsed 3700000 reads...
[2022-08-21 14:01:36] Parsed 3750000 reads...
[2022-08-21 14:01:44] Parsed 3800000 reads...
[2022-08-21 14:01:52] Parsed 3850000 reads...
[2022-08-21 14:01:59] Parsed 3900000 reads...
[2022-08-21 14:02:07] Parsed 3950000 reads...
[2022-08-21 14:02:14] Parsed 4000000 reads...
[2022-08-21 14:02:22] Parsed 4050000 reads...
[2022-08-21 14:02:30] Parsed 4100000 reads...
[2022-08-21 14:02:37] Parsed 4150000 reads...
[2022-08-21 14:02:44] Parsed 4200000 reads...
[2022-08-21 14:02:52] Parsed 4250000 reads...
[2022-08-21 14:02:59] Parsed 4300000 reads...
[2022-08-21 14:03:06] Parsed 4350000 reads...
[2022-08-21 14:03:14] Parsed 4400000 reads...
[2022-08-21 14:03:22] Parsed 4450000 reads...
[2022-08-21 14:03:29] Parsed 4500000 reads...
[2022-08-21 14:03:37] Parsed 4550000 reads...
[2022-08-21 14:03:44] Parsed 4600000 reads...
[2022-08-21 14:03:52] Parsed 4650000 reads...
[2022-08-21 14:03:59] Parsed 4700000 reads...
[2022-08-21 14:04:07] Parsed 4750000 reads...
[2022-08-21 14:04:16] Parsed 4800000 reads...
[2022-08-21 14:04:23] Parsed 4850000 reads...
[2022-08-21 14:04:31] Parsed 4900000 reads...
[2022-08-21 14:04:39] Parsed 4950000 reads...
[2022-08-21 14:04:46] Parsed 5000000 reads...
[2022-08-21 14:04:54] Parsed 5050000 reads...
[2022-08-21 14:05:02] Parsed 5100000 reads...
[2022-08-21 14:05:09] Parsed 5150000 reads...
[2022-08-21 14:05:17] Parsed 5200000 reads...
[2022-08-21 14:05:24] Parsed 5250000 reads...
[2022-08-21 14:05:32] Parsed 5300000 reads...
[2022-08-21 14:05:40] Parsed 5350000 reads...
[2022-08-21 14:05:47] Parsed 5400000 reads...
[2022-08-21 14:05:55] Parsed 5450000 reads...
[2022-08-21 14:06:02] Parsed 5500000 reads...
[2022-08-21 14:06:10] Parsed 5550000 reads...
[2022-08-21 14:06:17] Parsed 5600000 reads...
[2022-08-21 14:06:25] Parsed 5650000 reads...
[2022-08-21 14:06:33] Parsed 5700000 reads...
[2022-08-21 14:06:40] Parsed 5750000 reads...
[2022-08-21 14:06:47] Parsed 5800000 reads...
[2022-08-21 14:06:55] Parsed 5850000 reads...
