[2022-08-21 14:26:09] Executing SamBamViz v0.0.9
[2022-08-21 14:26:09] Using 1-based indexing
[2022-08-21 14:26:09] Input file: data/trimmed_bam/SRR13616028.02.trimmed.sorted.bam
[2022-08-21 14:26:09] Output file: data/trimmed_bam/SRR13616028.02.trimmed.sorted.bam.sambamviz.tsv
[2022-08-21 14:26:09] Parsing input file...
[2022-08-21 14:26:15] Parsed 50000 reads...
[2022-08-21 14:26:21] Parsed 100000 reads...
[2022-08-21 14:26:28] Parsed 150000 reads...
[2022-08-21 14:26:35] Parsed 200000 reads...
[2022-08-21 14:26:42] Parsed 250000 reads...
[2022-08-21 14:26:50] Parsed 300000 reads...
[2022-08-21 14:26:57] Parsed 350000 reads...
[2022-08-21 14:27:04] Parsed 400000 reads...
[2022-08-21 14:27:11] Parsed 450000 reads...
[2022-08-21 14:27:19] Parsed 500000 reads...
[2022-08-21 14:27:26] Parsed 550000 reads...
[2022-08-21 14:27:34] Parsed 600000 reads...
[2022-08-21 14:27:41] Parsed 650000 reads...
[2022-08-21 14:27:48] Parsed 700000 reads...
[2022-08-21 14:27:56] Parsed 750000 reads...
[2022-08-21 14:28:03] Parsed 800000 reads...
[2022-08-21 14:28:11] Parsed 850000 reads...
[2022-08-21 14:28:19] Parsed 900000 reads...
[2022-08-21 14:28:27] Parsed 950000 reads...
[2022-08-21 14:28:36] Parsed 1000000 reads...
[2022-08-21 14:28:43] Parsed 1050000 reads...
[2022-08-21 14:28:50] Parsed 1100000 reads...
[2022-08-21 14:28:58] Parsed 1150000 reads...
[2022-08-21 14:29:05] Parsed 1200000 reads...
[2022-08-21 14:29:12] Parsed 1250000 reads...
[2022-08-21 14:29:20] Parsed 1300000 reads...
[2022-08-21 14:29:27] Parsed 1350000 reads...
[2022-08-21 14:29:34] Parsed 1400000 reads...
[2022-08-21 14:29:42] Parsed 1450000 reads...
[2022-08-21 14:29:49] Parsed 1500000 reads...
[2022-08-21 14:29:57] Parsed 1550000 reads...
[2022-08-21 14:30:04] Parsed 1600000 reads...
[2022-08-21 14:30:11] Parsed 1650000 reads...
[2022-08-21 14:30:19] Parsed 1700000 reads...
[2022-08-21 14:30:26] Parsed 1750000 reads...
[2022-08-21 14:30:33] Parsed 1800000 reads...
[2022-08-21 14:30:41] Parsed 1850000 reads...
[2022-08-21 14:30:48] Parsed 1900000 reads...
[2022-08-21 14:30:56] Parsed 1950000 reads...
[2022-08-21 14:31:03] Parsed 2000000 reads...
[2022-08-21 14:31:10] Parsed 2050000 reads...
[2022-08-21 14:31:17] Parsed 2100000 reads...
[2022-08-21 14:31:25] Parsed 2150000 reads...
