[2022-08-21 06:16:47] Executing SamBamViz v0.0.9
[2022-08-21 06:16:47] Using 1-based indexing
[2022-08-21 06:16:47] Input file: data/trimmed_bam/SRR13615949.02.trimmed.sorted.bam
[2022-08-21 06:16:47] Output file: data/trimmed_bam/SRR13615949.02.trimmed.sorted.bam.sambamviz.tsv
[2022-08-21 06:16:47] Parsing input file...
[2022-08-21 06:16:53] Parsed 50000 reads...
[2022-08-21 06:16:59] Parsed 100000 reads...
[2022-08-21 06:17:06] Parsed 150000 reads...
[2022-08-21 06:17:13] Parsed 200000 reads...
[2022-08-21 06:17:19] Parsed 250000 reads...
[2022-08-21 06:17:27] Parsed 300000 reads...
[2022-08-21 06:17:34] Parsed 350000 reads...
[2022-08-21 06:17:41] Parsed 400000 reads...
[2022-08-21 06:17:49] Parsed 450000 reads...
[2022-08-21 06:17:56] Parsed 500000 reads...
[2022-08-21 06:18:03] Parsed 550000 reads...
[2022-08-21 06:18:11] Parsed 600000 reads...
[2022-08-21 06:18:19] Parsed 650000 reads...
[2022-08-21 06:18:27] Parsed 700000 reads...
[2022-08-21 06:18:34] Parsed 750000 reads...
[2022-08-21 06:18:42] Parsed 800000 reads...
[2022-08-21 06:18:49] Parsed 850000 reads...
[2022-08-21 06:18:56] Parsed 900000 reads...
[2022-08-21 06:19:04] Parsed 950000 reads...
[2022-08-21 06:19:12] Parsed 1000000 reads...
[2022-08-21 06:19:19] Parsed 1050000 reads...
[2022-08-21 06:19:27] Parsed 1100000 reads...
[2022-08-21 06:19:35] Parsed 1150000 reads...
[2022-08-21 06:19:42] Parsed 1200000 reads...
[2022-08-21 06:19:50] Parsed 1250000 reads...
[2022-08-21 06:19:58] Parsed 1300000 reads...
[2022-08-21 06:20:05] Parsed 1350000 reads...
[2022-08-21 06:20:13] Parsed 1400000 reads...
[2022-08-21 06:20:20] Parsed 1450000 reads...
[2022-08-21 06:20:28] Parsed 1500000 reads...
[2022-08-21 06:20:36] Parsed 1550000 reads...
[2022-08-21 06:20:43] Parsed 1600000 reads...
[2022-08-21 06:20:51] Parsed 1650000 reads...
[2022-08-21 06:20:58] Parsed 1700000 reads...
[2022-08-21 06:21:06] Parsed 1750000 reads...
[2022-08-21 06:21:14] Parsed 1800000 reads...
[2022-08-21 06:21:21] Parsed 1850000 reads...
[2022-08-21 06:21:29] Parsed 1900000 reads...
[2022-08-21 06:21:37] Parsed 1950000 reads...
[2022-08-21 06:21:44] Parsed 2000000 reads...
[2022-08-21 06:21:52] Parsed 2050000 reads...
[2022-08-21 06:22:00] Parsed 2100000 reads...
[2022-08-21 06:22:07] Parsed 2150000 reads...
[2022-08-21 06:22:15] Parsed 2200000 reads...
[2022-08-21 06:22:22] Parsed 2250000 reads...
[2022-08-21 06:22:30] Parsed 2300000 reads...
[2022-08-21 06:22:37] Parsed 2350000 reads...
[2022-08-21 06:22:45] Parsed 2400000 reads...
[2022-08-21 06:22:53] Parsed 2450000 reads...
[2022-08-21 06:23:00] Parsed 2500000 reads...
[2022-08-21 06:23:08] Parsed 2550000 reads...
[2022-08-21 06:23:15] Parsed 2600000 reads...
[2022-08-21 06:23:23] Parsed 2650000 reads...
[2022-08-21 06:23:30] Parsed 2700000 reads...
[2022-08-21 06:23:38] Parsed 2750000 reads...
[2022-08-21 06:23:46] Parsed 2800000 reads...
[2022-08-21 06:23:54] Parsed 2850000 reads...
